LATITUDE,LONGITUDE,NAME,LOCATION,MAINTAINER,IN_OPERATION,PET_FRIENDLY,PHOTO_NAME
49.29049866,-123.1402252,Fountain location:Gilford & Nelson,Northwest corner of Gilford & Nelson,Engineering,May-October,N,P3011198.jpg
49.2173117,-123.139586,Fountain location:Granville & 59th,Northeast corner of Granville & 59th,Engineering,Year Round,N,Granville&59th.jpg
49.281542,-123.119937,Fountain location:Granville & Robson,Northwest corner of Granville & Robson,Engineering,Year Round,N,Granville Robson 2.JPG
49.281386,-123.097231,Fountain location:Hastings & Gore,Northeast corner of Hastings & Gore,Engineering,Year Round,Y,Hastings&Gore.jpg
49.280998,-123.054448,Fountain location:Hastings & Kamloops,Northeast corner of Hastings & Kamloops,Engineering,May-October,N,Hastings Kamploops 1.JPG
49.2610594,-123.100784,Fountain location:Main & 11th,Southeast corner of Main & 11th,Engineering,Year Round,N,Main&11th.jpg
49.28571023,-123.1333368,Fountain location:Nelson & Broughton,In mini park at Nelson & Broughton,Engineering,May-October,N,P2130403.JPG
49.282385,-123.140508,Fountain location:Nicola & Beach,Northeast corner of Nicola & Beach,Engineering,May-October,N,Nicola Beach 1.JPG
49.28306599,-123.1222905,Fountain location:Robson & Burrard,Northeast corner of Robson & Burrard,Engineering,May-October,Y,P2190667.JPG
49.29345716,-123.13827,Fountain location:Robson & Chilco,In mini park at Robson & Chilco,Engineering,May-October,N,P2020133.JPG
49.2775724,-123.087389,Fountain location:Union & Hawks,In mini park at Union & Hawks,Engineering,Year Round,N,Union&Hawks.jpg
49.262294,-123.114544,Fountain location: Cambie & 10th,Northeast corner of Cambie & 10th,Engineering,Year Round,N,
49.229344,-123.127987,Fountain location: Oak & 46th,Northeast corner of Oak & 46th,Engineering,Year Round,N,Oak&46th.jpg
49.279672,-123.123513,Fountain location:Nelson & Howe,Southeast corner of Nelson & Howe,Engineering,Year Round,N,
49.271674,-123.167863,Fountain location:Pt.Grey & MacDonald,Northwest corner of Pt. Grey & MacDonald,Engineering,Year Round,N,Pt. Grey&MacDonald.jpg
49.262628,-123.089225,Fountian Location: Fraser & Broadway ,Northwest corner of Fraser & Broadway ,Engineering,Year Round,N,
49.20869619,-123.1402765,Temporary Fountain location:Northeast corner of 70th and Granville,Northeast corner of 70th and Granville,Engineering,Summer,N,
49.26243274,-123.0695524,Temporary Fountain location:Northeast corner of Commercial and Broadway ,Northeast corner of Commercial and Broadway ,Engineering,Summer,N,
49.2701294,-123.104467,Temporary Fountain location:Southeast corner of Ontario and 1st,Southeast corner of Ontario and 1st,Engineering,Summer,N,
49.281313,-123.089401,Temporary Fountain location: Northeast corner of E. Hastings and Heatley,Northeast corner of E. Hastings and Heatley,Engineering,Summer,N,
49.290173,-123.133783,Temporary Fountain location:Southeast corner of Robson and Bidwell,Southeast corner of Robson and Bidwell,Engineering,Summer,N,
49.282387,-123.114661,Temporary Fountain location:Southwest corner of Richards and Dunsmuir ,Southwest corner of Richards and Dunsmuir,Engineering,Summer,N,
